Sexe;Age;Statut;Occupation;Qualification;Etudie;NombreFS;NombreE;Jardinage;Cuisine;Sport;MinutesTV;LectureBD;MinutesL;EcouteRP;JournalIntime;Taille
H;46;Celibataire;Exerce profession;Cadre;Non;3;0;Non;Non;Non;120;Non;85,71;Non;Oui;Comme il faut
F;52;Marie;Exerce profession;Employe de bureau;Non;5;2;Non;Non;Non;85,71;Non;0;Non;Non;Pas assez
H;69;Marie;Retraite;Profession intermediaire;Non;1;2;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
H;37;Marie;Exerce profession;Ouvrier qualifie;Non;4;2;Oui;Non;Non;60;Non;0;Non;Non;Comme il faut
F;52;Marie;Autre inactif;Non concerne;Non;10;3;Non;Non;Non;60;Non;0;Non;Non;Pas assez
H;68;Marie;Retraite;Profession intermediaire;Non;5;3;Oui;Non;Oui;180;Non;0;Non;Non;Comme il faut
F;69;Marie;Retraite;Autre;Non;2;4;Oui;Non;Oui;0;Non;0;Non;Non;Comme il faut
H;76;Marie;Retraite;Autre;Non;0;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;53;Celibataire;Chomeur;Profession intermediaire;Non;3;0;Oui;Oui;Non;240;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Technicien;Non;5;3;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
F;45;Divorce;Exerce profession;Employe de bureau;Non;4;2;Oui;Oui;Non;180;Oui;60;Non;Non;Comme il faut
H;58;Marie;Chomeur;Technicien;Non;1;3;Oui;Non;Non;180;Non;0;Non;Non;Comme il faut
F;66;Marie;Autre inactif;Non concerne;Non;13;4;Oui;Oui;Non;360;Non;0;Non;Non;Comme il faut
F;33;Celibataire;Exerce profession;Employe de bureau;Non;6;3;Non;Non;Non;300;Non;0;Non;Non;Pas assez
F;38;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;1;Non;Non;Oui;180;Non;0;Non;Non;Trop
F;19;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Non;Non;Oui;17,14;Non;0;Oui;Oui;Trop
F;55;Divorce;Exerce profession;Cadre;Non;2;2;Oui;Oui;Oui;120;Non;0;Non;Non;Trop
H;48;Marie;Exerce profession;Cadre;Non;2;6;Oui;Oui;Oui;120;Non;0;Oui;Non;Pas assez
H;32;Marie;Exerce profession;Technicien;Non;1;0;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
F;34;Marie;Exerce profession;Autre;Non;1;3;Oui;Non;Non;120;Non;51,43;Non;Oui;Pas assez
H;45;Marie;Exerce profession;Profession intermediaire;Non;1;2;Oui;Oui;Oui;120;Non;0;Non;Oui;Comme il faut
H;68;Marie;Retraite;Cadre;Non;5;2;Oui;Oui;Oui;120;Non;0;Non;Non;Comme il faut
H;67;Marie;Retraite;Cadre;Non;6;2;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;54;Marie;Exerce profession;Ouvrier qualifie;Non;5;2;Oui;Oui;Oui;120;Non;0;Non;Non;Pas assez
F;44;Marie;Autre inactif;Cadre;Non;3;0;Oui;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;63;Marie;Retraite;Cadre;Non;1;2;Oui;Oui;Oui;17,14;Non;0;Non;Non;Comme il faut
H;35;Marie;Exerce profession;Cadre;Non;2;2;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
F;53;Marie;Retraite;Profession intermediaire;Non;12;3;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;59;Marie;Autre inactif;Ouvrier qualifie;Non;12;1;Oui;Oui;Non;300;Non;0;Non;Non;Comme il faut
F;40;Marie;Exerce profession;Employe de bureau;Non;4;2;Non;Oui;Oui;42,86;Non;0;Non;Non;Comme il faut
H;66;Divorce;Retraite;Ouvrier specialise;Non;8;3;Non;Oui;Non;180;Non;0;Non;Non;Comme il faut
F;44;Marie;Exerce profession;Cadre;Non;4;2;Oui;Oui;Oui;120;Non;0;Non;Oui;Comme il faut
F;30;Marie;Exerce profession;Employe de bureau;Non;3;2;Non;Oui;Oui;180;Non;0;Non;Oui;Comme il faut
F;43;Marie;Exerce profession;Non concerne;Non;5;4;Oui;Oui;Non;0;Oui;120;Non;Oui;Comme il faut
F;28;Marie;Exerce profession;Technicien;Non;5;1;Non;Oui;Non;60;Non;0;Non;Non;Pas assez
H;47;Celibataire;Autre inactif;Employe de bureau;Non;2;0;Non;Non;Non;0;Non;0;Non;Non;Pas assez
H;59;Veuf;Exerce profession;Cadre;Non;4;2;Oui;Non;Oui;25,71;Non;0;Non;Non;Comme il faut
H;45;Celibataire;Chomeur;Cadre;Non;3;0;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;46;Marie;Exerce profession;Ouvrier qualifie;Non;7;3;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;18;Celibataire;Etudiant;Non concerne;formation initiale;4;0;Non;Non;Non;60;Non;0;Non;Non;Trop
F;26;Marie;Exerce profession;Cadre;Non;5;0;Non;Oui;Oui;60;Non;8;Non;Oui;Pas assez
H;42;Celibataire;Chomeur;Ouvrier specialise;Non;1;4;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;55;Veuf;Retraite;Employe de bureau;Non;2;3;Oui;Oui;Non;180;Non;0;Non;Non;Comme il faut
F;46;Marie;Exerce profession;Ouvrier qualifie;Non;4;2;Oui;Oui;Non;120;Non;60;Non;Non;Comme il faut
F;67;Veuf;Retraite;Ouvrier specialise;Non;3;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;52;Marie;Exerce profession;Technicien;Non;3;2;Oui;Oui;Non;180;Non;120;Non;Non;Pas assez
F;58;Divorce;Exerce profession;Technicien;Non;1;3;Non;Non;Non;120;Oui;120;Non;Non;Comme il faut
F;31;Marie;Exerce profession;Employe de bureau;Non;2;2;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Cadre;Non;1;2;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
H;26;Celibataire;Exerce profession;Technicien;Non;1;0;Non;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;58;Veuf;Chomeur;Ouvrier qualifie;Non;3;2;Non;Non;Oui;120;Non;0;Non;Non;Pas assez
F;74;Divorce;Retraite;Employe de bureau;Non;3;1;Non;Non;Non;180;Non;120;Non;Non;Comme il faut
H;91;Marie;Retraite;Profession intermediaire;Non;2;2;Non;Non;Non;480;Non;0;Non;Non;Comme il faut
H;54;Divorce;Exerce profession;Cadre;Non;2;2;Non;Oui;Oui;8,57;Non;0;Non;Non;Comme il faut
H;49;Marie;Exerce profession;Cadre;Non;1;2;Oui;Non;Non;68,57;Non;0;Non;Non;Comme il faut
H;35;Divorce;Exerce profession;Ouvrier qualifie;Non;5;2;Non;Oui;Oui;180;Non;0;Oui;Non;Comme il faut
H;57;Marie;Autre inactif;Ouvrier specialise;Non;5;4;Oui;Non;Non;300;Non;0;Non;Non;Pas assez
H;47;Celibataire;Exerce profession;Ouvrier qualifie;Non;5;1;Oui;Oui;Non;60;Non;0;Non;Non;Comme il faut
F;35;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Oui;Oui;120;Non;0;Oui;Oui;Pas assez
F;41;Celibataire;Exerce profession;Employe de bureau;Non;1;1;Oui;Oui;Non;120;Non;0;Non;Oui;Comme il faut
F;56;Marie;Autre inactif;Technicien;Non;1;3;Non;Oui;Oui;180;Non;0;Non;Non;Comme il faut
H;71;Marie;Retraite;Cadre;Non;1;1;Oui;Non;Non;120;Non;120;Non;Oui;Pas assez
F;60;Marie;Chomeur;Employe de bureau;Non;3;2;Oui;Oui;Oui;60;Non;0;Non;Non;Comme il faut
H;58;Marie;Exerce profession;Non concerne;Non;8;3;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
F;44;Marie;Exerce profession;Employe de bureau;Non;5;2;Oui;Oui;Oui;17,14;Non;0;Non;Oui;Pas assez
F;22;Celibataire;Exerce profession;Employe de bureau;Non;5;0;Non;Oui;Oui;120;Non;0;Non;Non;Pas assez
F;34;Divorce;Exerce profession;Technicien;Non;4;1;Non;Non;Oui;0;Non;0;Non;Non;Pas assez
F;32;Celibataire;Exerce profession;Employe de bureau;Non;1;1;Non;Non;Non;120;Non;60;Non;Oui;Pas assez
F;40;Marie;Exerce profession;Employe de bureau;Non;9;2;Oui;Oui;Non;60;Non;0;Non;Non;Comme il faut
H;31;Celibataire;Exerce profession;Ouvrier qualifie;Non;9;3;Non;Oui;Oui;240;Non;0;Non;Non;Comme il faut
F;27;Celibataire;Exerce profession;Employe de bureau;Non;1;1;Non;Oui;Non;180;Non;0;Non;Non;Pas assez
H;21;Celibataire;Chomeur;Employe de bureau;Non;2;0;Non;Oui;Non;240;Non;0;Non;Non;Comme il faut
F;66;Veuf;Retraite;Employe de bureau;Non;2;2;Non;Non;Non;240;Non;0;Non;Non;Pas assez
H;76;Marie;Retraite;Profession intermediaire;Non;6;1;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;49;Celibataire;Exerce profession;Ouvrier specialise;Non;7;2;Oui;Oui;Non;60;Non;0;Non;Non;Comme il faut
F;76;Marie;Retraite;Non concerne;Non;2;2;Non;Oui;Non;180;Non;0;Non;Non;Pas assez
F;68;Celibataire;Retraite;Employe de bureau;Non;0;0;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
H;39;Celibataire;Chomeur;Cadre;Non;1;0;Non;Non;Oui;0;Non;120;Non;Oui;Comme il faut
H;35;Marie;Exerce profession;Cadre;Non;3;2;Oui;Oui;Oui;60;Non;0;Non;Non;Comme il faut
H;60;Marie;Exerce profession;Cadre;Non;3;4;Oui;Oui;Non;120;Non;60;Non;Non;Pas assez
F;22;Marie;Autre inactif;Ouvrier specialise;Non;5;1;Non;Oui;Non;300;Non;0;Non;Non;Pas assez
H;42;Celibataire;Exerce profession;Profession intermediaire;Non;0;0;Non;Non;Non;60;Non;60;Non;Oui;Comme il faut
F;41;Marie;Autre inactif;Autre;Non;9;2;Oui;Oui;Oui;0;Non;0;Non;Non;Comme il faut
F;67;Marie;Retraite;Cadre;Non;2;0;Oui;Oui;Oui;240;Non;0;Non;Non;Pas assez
H;45;Marie;Exerce profession;Non concerne;Non;2;1;Non;Oui;Oui;120;Non;0;Non;Non;Pas assez
F;23;Celibataire;Exerce profession;Profession intermediaire;Non;2;0;Non;Non;Non;0;Non;0;Non;Non;Pas assez
H;30;Marie;Chomeur;Employe de bureau;Non;5;0;Non;Oui;Non;240;Non;0;Non;Non;Comme il faut
H;50;Marie;Exerce profession;Ouvrier qualifie;Non;18;3;Oui;Non;Non;360;Non;60;Non;Non;Pas assez
F;24;Marie;Exerce profession;Employe de bureau;Non;2;1;Non;Oui;Oui;240;Non;0;Non;Oui;Comme il faut
H;79;Marie;Retraite;Cadre;Non;6;5;Non;Oui;Non;180;Non;60;Non;Non;Pas assez
F;27;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Oui;Oui;120;Oui;60;Non;Non;Comme il faut
H;25;Marie;Exerce profession;Cadre;Non;5;0;Non;Non;Oui;25,71;Non;0;Non;Oui;Pas assez
H;42;Marie;Exerce profession;Technicien;Non;1;0;Oui;Non;Oui;60;Non;0;Non;Non;Comme il faut
F;39;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Non;Non;120;Non;0;Non;Non;Pas assez
F;57;Veuf;Exerce profession;Cadre;Non;1;0;Oui;Oui;Non;120;Non;120;Non;Oui;Comme il faut
F;55;Marie;Exerce profession;Technicien;Non;5;2;Oui;Non;Non;120;Non;0;Non;Oui;Comme il faut
H;53;Marie;Exerce profession;Non concerne;Non;3;3;Oui;Oui;Oui;120;Non;0;Non;Non;Pas assez
F;30;Marie;Exerce profession;Employe de bureau;Non;1;2;Non;Non;Non;180;Non;0;Non;Non;Pas assez
F;46;Marie;Exerce profession;Employe de bureau;Non;5;2;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;55;Marie;Exerce profession;Ouvrier qualifie;Non;11;4;Oui;Non;Non;60;Non;0;Non;Non;Comme il faut
F;25;Celibataire;Exerce profession;Employe de bureau;Reprise de formation;5;0;Non;Oui;Non;60;Non;0;Non;Non;Comme il faut
F;20;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Oui;Oui;180;Non;0;Non;Non;Pas assez
H;33;Celibataire;Exerce profession;Employe de bureau;Non;4;2;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
F;33;Marie;Exerce profession;Cadre;Non;1;1;Oui;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;25;Marie;Exerce profession;Employe de bureau;Non;2;0;Non;Non;Oui;240;Non;0;Non;Oui;Comme il faut
F;18;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Non;25,71;Non;300;Non;Oui;Comme il faut
F;53;Marie;Exerce profession;Employe de bureau;Non;0;2;Non;Oui;Non;60;Non;0;Non;Non;Pas assez
H;23;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Oui;Oui;300;Non;0;Non;Non;Comme il faut
F;75;Marie;Autre inactif;Technicien;Non;1;2;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;28;Celibataire;Exerce profession;Ouvrier specialise;Non;4;0;Non;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;60;Marie;Exerce profession;Non concerne;Non;3;2;Non;Non;Non;128,57;Non;60;Non;Non;Comme il faut
F;49;Marie;Exerce profession;Profession intermediaire;Non;0;2;Oui;Oui;Non;120;Non;60;Non;Non;Pas assez
F;44;Marie;Exerce profession;Employe de bureau;Non;1;2;Oui;Oui;Non;0;Non;0;Non;Non;Comme il faut
F;50;Marie;Autre inactif;Profession intermediaire;Non;1;2;Non;Non;Oui;240;Non;120;Non;Non;Comme il faut
H;22;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Non;Non;Oui;25,71;Non;0;Non;Non;Comme il faut
F;34;Celibataire;Exerce profession;Cadre;Non;0;0;Non;Non;Non;60;Non;0;Non;Oui;Comme il faut
H;51;Marie;Exerce profession;Cadre;Non;2;2;Oui;Non;Oui;180;Non;42,86;Non;Non;Comme il faut
F;55;Marie;Exerce profession;Employe de bureau;Non;1;1;Oui;Oui;Non;60;Non;60;Non;Oui;Comme il faut
H;58;Marie;Exerce profession;Cadre;Non;1;2;Oui;Non;Non;60;Non;0;Non;Non;Comme il faut
F;56;Marie;Exerce profession;Employe de bureau;Non;3;1;Oui;Non;Non;120;Non;0;Non;Non;Pas assez
H;57;Marie;Chomeur;Employe de bureau;Non;1;2;Oui;Non;Non;120;Non;0;Non;Non;Pas assez
F;60;Marie;Retraite;Employe de bureau;Non;13;4;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;51;Divorce;Autre inactif;Employe de bureau;Non;5;3;Oui;Non;Non;60;Non;0;Non;Non;Pas assez
F;47;Marie;Exerce profession;Cadre;Non;0;4;Oui;Oui;Oui;120;Non;0;Non;Oui;Pas assez
H;72;Marie;Retraite;Cadre;Non;1;1;Oui;Non;Non;180;Non;0;Non;Non;Comme il faut
F;45;Marie;Exerce profession;Cadre;Non;1;2;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
F;31;Celibataire;Exerce profession;Cadre;Non;1;0;Oui;Oui;Oui;120;Non;0;Non;Oui;Pas assez
H;40;Marie;Exerce profession;Employe de bureau;Non;1;2;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
H;45;Marie;Exerce profession;Cadre;Non;3;2;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
F;28;Divorce;Exerce profession;Employe de bureau;Non;9;3;Non;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
H;55;Marie;Exerce profession;Technicien;Non;7;2;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
H;37;Marie;Exerce profession;Cadre;Non;1;2;Non;Oui;Oui;60;Non;0;Non;Non;Comme il faut
F;38;Marie;Exerce profession;Cadre;Non;1;5;Non;Oui;Oui;4;Non;0;Non;Oui;Comme il faut
H;53;Marie;Exerce profession;Profession intermediaire;Non;3;2;Non;Oui;Non;120;Non;0;Non;Non;Comme il faut
F;37;Marie;Autre inactif;Cadre;Non;4;2;Oui;Oui;Oui;25,71;Oui;42,86;Non;Oui;Pas assez
H;55;Marie;Exerce profession;Profession intermediaire;Non;5;3;Oui;Non;Non;180;Non;0;Non;Non;Comme il faut
F;39;Marie;Exerce profession;Profession intermediaire;Non;1;3;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;34;Marie;Exerce profession;Technicien;Non;1;1;Oui;Non;Oui;120;Non;0;Non;Non;Pas assez
H;48;Celibataire;Exerce profession;Cadre;Non;2;0;Oui;Oui;Oui;120;Non;51,43;Non;Non;Comme il faut
H;39;Marie;Exerce profession;Employe de bureau;Non;1;3;Non;Non;Non;6;Non;60;Non;Non;Comme il faut
H;32;Celibataire;Exerce profession;Employe de bureau;Non;1;2;Non;Non;Non;120;Non;60;Non;Non;Comme il faut
H;49;Marie;Exerce profession;Ouvrier qualifie;Non;3;3;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;56;Marie;Exerce profession;Profession intermediaire;Non;0;2;Oui;Non;Oui;120;Non;0;Non;Non;Comme il faut
F;74;Celibataire;Retraite;Profession intermediaire;Non;10;0;Oui;Non;Non;180;Non;0;Non;Non;Comme il faut
H;35;Marie;Exerce profession;Cadre;Non;1;2;Non;Non;Oui;120;Non;60;Non;Non;Comme il faut
H;81;Marie;Au foyer;Non concerne;Non;0;1;Oui;Non;Non;300;Non;0;Non;Non;Comme il faut
H;33;Marie;Exerce profession;Employe de bureau;Non;5;1;Non;Non;Non;180;Non;0;Oui;Non;Comme il faut
F;42;Marie;Exerce profession;Employe de bureau;Non;2;2;Non;Oui;Oui;0;Non;60;Non;Oui;Comme il faut
H;38;Celibataire;Exerce profession;Cadre;Reprise de formation;3;0;Non;Non;Oui;60;Non;0;Non;Oui;Comme il faut
H;29;Celibataire;Exerce profession;Profession intermediaire;Non;2;0;Non;Oui;Oui;120;Non;0;Non;Non;Comme il faut
H;21;Celibataire;Exerce profession;Technicien;Non;2;0;Non;Oui;Oui;180;Non;0;Non;Non;Comme il faut
F;61;Marie;Retraite;Ouvrier specialise;Non;7;6;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
F;66;Veuf;Autre inactif;Non concerne;Non;7;3;Non;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;79;Marie;Retraite;Non concerne;Non;10;2;Non;Oui;Non;240;Non;0;Non;Oui;Pas assez
F;31;Celibataire;Exerce profession;Technicien;Non;1;1;Non;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;49;Marie;Exerce profession;Cadre;Non;3;2;Non;Oui;Oui;60;Non;0;Non;Non;Pas assez
F;47;Divorce;Exerce profession;Profession intermediaire;Non;1;2;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;38;Celibataire;Exerce profession;Employe de bureau;Non;10;0;Oui;Oui;Non;180;Non;0;Non;Oui;Pas assez
F;56;Marie;Autre inactif;Employe de bureau;Non;1;2;Oui;Oui;Non;120;Non;60;Non;Non;Pas assez
F;82;Veuf;Retraite;Employe de bureau;Non;5;1;Oui;Non;Non;120;Non;0;Non;Non;Refus
F;68;Marie;Au foyer;Non concerne;Non;1;1;Oui;Oui;Non;240;Non;120;Non;Non;Pas assez
F;73;Marie;Retraite;Employe de bureau;Non;5;7;Non;Oui;Non;240;Non;0;Non;Non;Pas assez
H;65;Marie;Retraite;Cadre;Non;2;2;Non;Non;Non;180;Non;180;Non;Oui;Comme il faut
H;20;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Oui;60;Non;0;Oui;Oui;Comme il faut
H;18;Celibataire;Etudiant;Non concerne;formation initiale;3;0;Oui;Oui;Oui;180;Oui;120;Non;Non;Comme il faut
H;35;Celibataire;Exerce profession;Cadre;Non;1;1;Oui;Oui;Oui;25,71;Non;0;Non;Non;Comme il faut
F;29;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Non;Non;Oui;480;Non;300;Non;Non;Comme il faut
F;78;Marie;Retraite;Employe de bureau;Non;3;4;Non;Oui;Non;120;Non;60;Non;Non;Comme il faut
H;67;Marie;Retraite;Ouvrier qualifie;Non;10;5;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;40;Divorce;Exerce profession;Employe de bureau;Non;5;3;Non;Non;Oui;60;Non;60;Non;Non;Comme il faut
F;40;Marie;Exerce profession;Employe de bureau;Non;2;3;Oui;Oui;Non;240;Non;0;Non;Non;Pas assez
F;45;Celibataire;Exerce profession;Employe de bureau;Non;8;0;Non;Non;Non;180;Non;0;Non;Non;Pas assez
F;52;Divorce;Exerce profession;Employe de bureau;Non;7;3;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;29;Divorce;Exerce profession;Employe de bureau;Non;1;1;Non;Non;Oui;60;Non;0;Non;Oui;Comme il faut
F;65;Veuf;Retraite;Ouvrier specialise;Non;0;3;Non;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;50;Marie;Exerce profession;Cadre;Non;1;2;Non;Non;Non;120;Non;0;Non;Non;Pas assez
F;47;Celibataire;Autre inactif;Cadre;Non;1;5;Non;Non;Non;120;Non;0;Non;Non;Trop
F;57;Marie;Exerce profession;Non concerne;Non;9;4;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
F;34;Marie;Exerce profession;Cadre;Non;2;0;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
F;58;Divorce;Autre inactif;Ouvrier specialise;Non;5;4;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
H;55;Divorce;Retraite;Ouvrier qualifie;Non;8;3;Oui;Non;Non;360;Non;0;Non;Non;Pas assez
F;30;Marie;Exerce profession;Employe de bureau;Non;1;1;Oui;Non;Oui;51,43;Oui;60;Non;Non;Comme il faut
F;57;Marie;Exerce profession;Ouvrier qualifie;Non;4;2;Non;Oui;Oui;60;Non;0;Non;Non;Pas assez
F;65;Celibataire;Retraite;Ouvrier specialise;Non;2;3;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
H;85;Veuf;Retraite;Ouvrier specialise;Non;1;3;Non;Non;Non;480;Non;180;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Employe de bureau;Non;3;4;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;35;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;2;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;18;Celibataire;Chomeur;Non concerne;Non;2;0;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
H;34;Marie;Exerce profession;Employe de bureau;Reprise de formation;3;1;Non;Non;Oui;0;Non;0;Oui;Non;Comme il faut
F;62;Veuf;Retraite;Ouvrier specialise;Non;0;4;Non;Non;Non;300;Non;0;Non;Non;Pas assez
F;31;Celibataire;Autre inactif;Non concerne;Non;10;1;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;23;Celibataire;Exerce profession;Ouvrier specialise;Non;4;0;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;83;Marie;Autre inactif;Employe de bureau;Non;2;4;Non;Non;Non;0;Non;0;Non;Non;Pas assez
F;60;Veuf;Retraite;Employe de bureau;Non;7;4;Oui;Non;Oui;0;Non;0;Non;Non;Pas assez
H;55;Divorce;Chomeur;Ouvrier specialise;Non;8;4;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;56;Divorce;Autre inactif;Ouvrier specialise;Non;6;2;Non;Oui;Non;120;Non;0;Non;Non;Pas assez
H;43;Celibataire;Exerce profession;Cadre;Reprise de formation;2;1;Oui;Oui;Oui;0;Non;0;Oui;Non;Comme il faut
H;50;Marie;Exerce profession;Cadre;Non;6;0;Non;Non;Oui;0;Non;0;Non;Oui;Comme il faut
H;75;Veuf;Retraite;Employe de bureau;Non;3;1;Non;Non;Non;180;Non;60;Non;Non;Comme il faut
H;21;Celibataire;Exerce profession;Ouvrier specialise;Non;2;0;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;30;Marie;Exerce profession;Employe de bureau;Non;5;0;Non;Oui;Oui;180;Non;0;Non;Non;Comme il faut
H;31;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Non;Non;Oui;60;Non;0;Non;Non;Pas assez
F;27;Marie;Exerce profession;Employe de bureau;Non;3;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;73;Marie;Retraite;Ouvrier qualifie;Non;1;3;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;61;Marie;Retraite;Employe de bureau;Non;5;4;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;35;Marie;Exerce profession;Technicien;Non;6;3;Oui;Non;Non;180;Non;0;Non;Non;Comme il faut
F;63;Marie;Exerce profession;Employe de bureau;Non;3;1;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;74;Veuf;Retraite;Employe de bureau;Non;1;0;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;49;Marie;Exerce profession;Ouvrier specialise;Non;3;1;Non;Oui;Non;120;Non;0;Non;Non;Pas assez
F;57;Marie;Exerce profession;Ouvrier qualifie;Non;2;6;Non;Oui;Non;60;Non;0;Non;Non;Pas assez
F;37;Marie;Exerce profession;Employe de bureau;Non;1;2;Oui;Non;Oui;17,14;Non;0;Non;Non;Comme il faut
F;19;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Non;Non;Non;0;Non;0;Non;Oui;Comme il faut
F;57;Marie;Autre inactif;Ouvrier specialise;Non;7;2;Oui;Non;Non;120;Non;0;Non;Non;Pas assez
F;56;Divorce;Chomeur;Ouvrier qualifie;Non;2;2;Non;Oui;Non;120;Non;0;Non;Non;Pas assez
F;76;Celibataire;Retraite;Non concerne;Non;2;0;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;67;Marie;Retraite;Employe de bureau;Non;1;4;Oui;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;46;Marie;Exerce profession;Ouvrier qualifie;Non;4;3;Oui;Non;Non;180;Non;0;Non;Non;Pas assez
F;55;Marie;Exerce profession;Cadre;Non;3;1;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
F;40;Divorce;Exerce profession;Autre;Non;4;3;Oui;Oui;Oui;420;Non;0;Non;Oui;Pas assez
F;56;Divorce;Exerce profession;Employe de bureau;Non;3;1;Non;Non;Oui;180;Non;0;Non;Non;Comme il faut
F;40;Marie;Autre inactif;Autre;Non;1;3;Oui;Oui;Non;120;Non;0;Non;Non;Pas assez
H;50;Marie;Exerce profession;Ouvrier qualifie;Non;7;2;Oui;Oui;Oui;60;Non;0;Non;Non;Pas assez
H;78;Marie;Retraite;Ouvrier qualifie;Non;0;2;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
F;25;Celibataire;Exerce profession;Autre;Non;0;0;Non;Oui;Non;42,86;Non;0;Non;Non;Comme il faut
H;22;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;0;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
F;51;Marie;Exerce profession;Ouvrier specialise;Non;1;1;Oui;Oui;Non;180;Non;120;Non;Non;Comme il faut
F;46;Marie;Exerce profession;Profession intermediaire;Non;2;2;Oui;Non;Non;60;Non;0;Non;Non;Pas assez
F;48;Marie;Exerce profession;Employe de bureau;Non;4;3;Non;Oui;Non;180;Non;0;Non;Oui;Comme il faut
F;84;Veuf;Retraite;Employe de bureau;Non;5;5;Non;Oui;Non;300;Non;0;Non;Oui;Pas assez
H;42;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Non;Oui;0;Non;60;Non;Non;Comme il faut
H;71;Marie;Retraite;Cadre;Non;2;3;Non;Non;Non;120;Non;0;Non;Non;Pas assez
